Substrate 1,Substrate 2,Substrate 3,Substrate 4,Substrate 5,Substrate 6,Substrate 7,Substrate 8,Substrate 9,Substrate 10,Substrate 11,Substrate 12,Substrate 13,Substrate 14,Substrate 15,Substrate 16,Substrate 17,Substrate 18,Substrate 19,Substrate 20,Substrate 21,Substrate 22,Substrate 23,Substrate 24,Substrate 25,Substrate 26,Substrate 27,Substrate 28,Substrate 29,Substrate 30,Substrate 31,Substrate 32,Substrate 33,Substrate 34,Substrate 35,Substrate 36,Substrate 37,Substrate 38,Substrate 39,Substrate 40,Substrate 41,Substrate 42,Substrate 43,Substrate 44,Substrate 45,Substrate 46,Substrate 47,Substrate 48,Substrate 49,Substrate 50,Substrate 51,Substrate 52,Substrate 53,Substrate 54,Substrate 55,Substrate 56,Substrate 57,Substrate 58,Substrate 59,Substrate 60,Substrate 61,Substrate 62,Substrate 63,Substrate 64,Substrate 65,Substrate 66,Substrate 67,Substrate 68,Substrate 69,Substrate 70,Substrate 71,Substrate 72,Substrate 73,Substrate 74,Substrate 75,Substrate 76,Substrate 77,Substrate 78,Substrate 79,Substrate 80,Substrate 81,Substrate 82,Substrate 83,Substrate 84,Substrate 85,Substrate 86,Substrate 87,Substrate 88,Substrate 89,Substrate 90,Substrate 91,Substrate 92,Substrate 93,Substrate 94,Substrate 95,Substrate 96,Substrate 97,Substrate 98,Substrate 99,Substrate 100,
105,912,3498,9221,18949,32331,47169,62932,75087,84263,91475,95611,97870,99041,99440,100017,99561,100324,100072,99438,100120,99970,100437,99669,100181,99499,100504,99599,100302,100345,99965,99708,99714,100131,99854,100075,100716,100079,99518,99629,99794,100062,100472,100106,99933,99416,100194,99962,100455,100466,99751,99876,99858,100717,99584,99964,100537,99604,100215,100066,100121,99674,99731,99840,99976,100439,100207,99730,99623,100093,99716,99575,99921,100260,100530,100055,99786,100247,99614,100085,99694,100007,100051,100345,99994,99801,100221,100081,100110,99877,100187,100168,99862,99910,99704,100085,99925,99886,99806,782700,
105,911,3490,9220,18938,32305,47180,62908,75065,84255,91470,95618,97865,99023,99437,100005,99571,100333,100072,99440,100106,99970,100438,99670,100197,99508,100484,99598,100316,100339,99979,99678,99728,100139,99848,100066,100716,100070,99542,99647,99760,100075,100456,100121,99946,99388,100211,99937,100469,100468,99760,99856,99863,100726,99588,99963,100526,99619,100207,100075,100100,99679,99733,99842,99978,100451,100203,99727,99621,100085,99714,99594,99917,100246,100540,100080,99767,100222,99618,100119,99672,100008,100067,100339,99986,99790,100220,100091,100118,99852,100196,100177,99856,99908,99719,100098,99911,99879,99802,782811,
105,910,3488,9209,18929,32295,47161,62897,75059,84236,91471,95604,97843,99058,99438,99982,99577,100318,100084,99438,100099,99993,100421,99661,100213,99507,100468,99594,100326,100333,100008,99652,99744,100132,99840,100067,100725,100074,99548,99642,99737,100097,100445,100131,99935,99409,100203,99931,100484,100444,99766,99840,99887,100714,99567,99999,100518,99605,100227,100060,100108,99686,99727,99842,99979,100463,100196,99725,99605,100088,99727,99607,99903,100256,100518,100076,99789,100202,99617,100119,99681,100000,100082,100315,100011,99768,100241,100095,100117,99832,100220,100164,99881,99879,99731,100100,99896,99895,99809,782902,
105,909,3485,9206,18913,32283,47144,62875,75053,84215,91461,95605,97847,99056,99455,99968,99580,100321,100058,99449,100093,99989,100448,99652,100210,99520,100454,99577,100355,100326,100005,99649,99740,100150,99827,100086,100708,100078,99533,99660,99726,100089,100455,100133,99939,99414,100213,99913,100498,100425,99781,99833,99886,100708,99564,100004,100526,99598,100246,100038,100106,99691,99741,99824,99997,100453,100213,99718,99580,100109,99734,99585,99902,100281,100485,100091,99787,100208,99610,100136,99659,100015,100076,100323,99993,99775,100241,100122,100101,99811,100238,100169,99876,99880,99730,100087,99896,99905,99815,783000,
105,909,3483,9202,18904,32270,47120,62843,75053,84203,91449,95604,97852,99036,99488,99969,99576,100296,100077,99420,100134,99971,100438,99648,100230,99528,100444,99595,100329,100342,99988,99658,99743,100138,99812,100105,100706,100074,99542,99654,99729,100102,100440,100144,99930,99428,100186,99940,100484,100424,99801,99792,99928,100686,99550,100021,100524,99601,100237,100043,100116,99690,99731,99802,100019,100450,100218,99716,99606,100076,99751,99573,99910,100288,100480,100079,99797,100207,99584,100142,99687,100000,100083,100325,99997,99758,100254,100096,100125,99804,100279,100125,99893,99854,99754,100082,99896,99894,99842,783089,
104,909,3482,9196,18895,32258,47100,62813,75056,84184,91440,95601,97846,99038,99498,99972,99576,100294,100056,99415,100162,99965,100413,99672,100207,99550,100439,99594,100337,100351,99973,99644,99761,100147,99795,100109,100712,100076,99522,99676,99743,100073,100464,100110,99935,99456,100169,99945,100491,100402,99815,99789,99918,100698,99567,100018,100505,99595,100252,100056,100095,99698,99716,99817,100020,100444,100217,99716,99603,100079,99751,99554,99935,100283,100492,100071,99805,100209,99569,100160,99667,100016,100063,100338,99993,99738,100276,100081,100148,99805,100259,100136,99892,99852,99734,100096,99908,99891,99837,783197,
104,905,3479,9189,18881,32246,47069,62811,75030,84191,91455,95573,97863,99023,99510,99951,99577,100284,100073,99438,100131,99986,100396,99655,100215,99566,100426,99602,100340,100335,99967,99660,99767,100128,99811,100115,100705,100081,99513,99682,99720,100088,100472,100116,99916,99463,100166,99946,100499,100413,99791,99803,99908,100699,99566,100041,100496,99581,100257,100044,100102,99707,99713,99816,100023,100441,100216,99718,99599,100083,99753,99535,99947,100274,100508,100076,99791,100217,99569,100160,99676,100013,100056,100343,99996,99738,100261,100086,100141,99806,100271,100117,99904,99876,99727,100098,99897,99879,99853,783296,
104,903,3477,9175,18880,32229,47055,62801,75010,84175,91447,95583,97835,99044,99504,99964,99569,100281,100077,99441,100108,99993,100397,99675,100188,99582,100422,99589,100353,100353,99953,99646,99778,100141,99804,100114,100702,100085,99511,99674,99739,100074,100464,100124,99903,99475,100170,99949,100477,100433,99797,99784,99911,100689,99579,100051,100489,99581,100255,100040,100114,99701,99731,99783,100041,100442,100212,99701,99633,100075,99746,99522,99948,100270,100512,100089,99804,100203,99575,100132,99700,100005,100065,100330,100000,99743,100252,100077,100142,99822,100275,100115,99893,99875,99743,100098,99878,99887,99864,783396,
103,904,3475,9165,18875,32219,47032,62789,75003,84151,91432,95597,97851,99004,99528,99950,99568,100275,100075,99459,100099,99991,100395,99692,100155,99604,100420,99595,100349,100353,99957,99635,99801,100135,99790,100108,100696,100112,99516,99669,99723,100081,100451,100116,99904,99486,100193,99934,100484,100419,99803,99778,99925,100695,99557,100068,100494,99573,100253,100024,100129,99712,99701,99798,100036,100426,100243,99697,99636,100063,99744,99525,99938,100284,100505,100079,99816,100208,99562,100140,99697,100005,100067,100327,100002,99765,100232,100082,100145,99827,100239,100136,99894,99866,99747,100099,99888,99886,99843,783523,
103,904,3468,9164,18864,32213,47007,62788,74982,84138,91422,95598,97834,99022,99523,99952,99561,100284,100045,99479,100073,100019,100404,99690,100154,99591,100441,99577,100359,100353,99932,99636,99808,100152,99771,100114,100700,100114,99505,99666,99730,100083,100456,100121,99897,99478,100188,99925,100510,100416,99826,99754,99945,100679,99554,100062,100486,99577,100248,100038,100136,99709,99706,99791,100043,100445,100207,99703,99652,100039,99734,99520,99962,100293,100506,100071,99798,100241,99547,100163,99671,100002,100057,100331,100000,99766,100226,100084,100163,99811,100253,100149,99892,99854,99754,100073,99913,99888,99842,783622,
103,902,3468,9153,18847,32206,46993,62776,74972,84124,91415,95600,97793,99057,99504,99968,99552,100289,100036,99479,100083,99987,100437,99683,100154,99583,100457,99595,100343,100356,99933,99614,99825,100135,99810,100100,100698,100090,99506,99656,99751,100079,100465,100127,99875,99483,100180,99928,100502,100434,99835,99756,99931,100689,99546,100063,100499,99557,100248,100044,100127,99706,99721,99792,100031,100461,100196,99724,99627,100041,99722,99544,99939,100310,100494,100082,99800,100237,99544,100171,99682,99975,100061,100341,99989,99783,100221,100088,100156,99822,100262,100124,99922,99842,99741,100080,99914,99881,99858,783715,
103,902,3462,9151,18832,32200,46978,62754,74962,84097,91403,95614,97781,99073,99500,99979,99538,100278,100056,99469,100069,100005,100433,99670,100160,99593,100450,99605,100331,100359,99943,99610,99803,100153,99808,100122,100687,100074,99498,99672,99760,100071,100435,100172,99873,99477,100169,99914,100520,100437,99830,99754,99927,100690,99553,100056,100507,99552,100234,100066,100135,99707,99709,99790,100029,100446,100211,99716,99643,100017,99723,99558,99949,100308,100494,100070,99801,100240,99575,100126,99698,99995,100026,100348,100009,99781,100217,100080,100128,99853,100252,100142,99910,99847,99728,100095,99911,99883,99853,783823,
102,903,3456,9144,18821,32191,46967,62721,74963,84076,91419,95586,97772,99092,99499,99972,99524,100270,100064,99502,100043,100003,100432,99699,100132,99625,100439,99593,100344,100338,99976,99597,99818,100137,99802,100116,100682,100076,99511,99643,99772,100071,100443,100175,99879,99476,100172,99901,100528,100411,99835,99779,99909,100706,99540,100066,100484,99558,100250,100060,100131,99721,99696,99781,100034,100442,100214,99741,99622,100032,99702,99572,99946,100310,100488,100056,99825,100214,99598,100127,99672,100030,100013,100351,100006,99796,100208,100072,100128,99857,100226,100159,99920,99843,99764,100056,99897,99887,99876,783922,
